	sex	job	blood_group	name	race	address	birthdate	current_location	ssn
0	M	Secretary/administrator	O+	Colton Garcia	Hawaiian	"222 Smith Shoals
Ortegaland, NM 25312"	1990-04-02	(Decimal('81.068645'), Decimal('-61.887841'))	224-40-1972
1	M	Hydrogeologist	AB+	James Gray	Hawaiian	"755 Graham Lake
Valdezfurt, IN 21739"	03/25/1926, 00:00:00	(Decimal('-5.4110755'), Decimal('-172.109419'))	351-11-1730
2	M	Tourism officer	AB-	Franklin Moore	White	"42832 Patrick Island
East Bradton, DE 36334"	05/06/1958, 00:00:00	(Decimal('-88.540956'), Decimal('-94.396339'))	824-41-6795
3	F	Social worker	A+	Jennifer Anderson	White	"Unit 8158 Box 0225
DPO AP 69059"	1908-06-07	(Decimal('85.9643255'), Decimal('-165.105180'))	077-59-6064
4	F	Naval architect	A+	Carrie Wilson	Black	"0994 Daniel Park Apt. 137
West Melinda, KS 34770"	13 Jan 1974	(Decimal('-27.169289'), Decimal('96.479444'))	004-15-9553
5	F	Civil engineer, consulting	B-	Jill Bush	Asian	"20743 Garcia Hollow
Rachelview, SC 76828"	2008/05/03	(Decimal('-7.3176355'), Decimal('95.685289'))	371-87-9128
6	M	Designer, furniture	B-	Christopher Rodriguez	Black	"43438 Wolf Squares Suite 303
Gabrielton, VT 38062"	11/07/1921, 00:00:00	(Decimal('0.813919'), Decimal('111.599420'))	030-64-0720
7	M	Engineer, manufacturing systems	B-	Victor Dyer	Black	"68845 Hannah Manor Apt. 640
Coxmouth, CT 16804"	09/20/1997, 00:00:00	(Decimal('-8.7433455'), Decimal('-54.880360'))	030-29-8055
8	F	Embryologist, clinical	O-	Laura Landry	Asian	"466 Derrick Hill Suite 063
Jamesville, KS 85116"	1989-07-05	(Decimal('16.246205'), Decimal('169.770796'))	033-24-2798
9	F	Conservation officer, nature	O-	Rhonda West	White	"PSC 5514, Box 4075
APO AE 72519"	10/03/1954, 00:00:00	(Decimal('-80.7543615'), Decimal('-131.816732'))	061-82-1067
10	M	Engineer, technical sales	A+	Lucas Daniels	White	"285 Soto Park
Calvinberg, LA 69977"	07/02/1942, 00:00:00	(Decimal('79.0021825'), Decimal('-144.709672'))	761-66-3906
11	M	Historic buildings inspector/conservation officer	A+	Mark Mathis	White	"10514 Galvan Isle
New Anthony, ND 16076"	21 Nov 2009	(Decimal('66.310021'), Decimal('51.322137'))	032-60-4889
12	M	Loss adjuster, chartered	AB+	Brent Lee	Asian	"811 Pacheco Loaf Suite 903
New Cindy, OK 89469"	1921-12-13	(Decimal('77.814467'), Decimal('20.390058'))	364-22-4638
13	M	Prison officer	B+	Trevor Pena	White	"7696 Amanda Loaf Suite 716
New Chloeberg, IL 21870"	18 Aug 1958	(Decimal('14.355245'), Decimal('-175.627190'))	815-92-8007
14	M	Curator	O-	Cameron Williams	Black	"06818 Sarah Curve
Thompsonchester, WY 45370"	1909-01-03	(Decimal('-79.0031765'), Decimal('-103.134200'))	610-15-1683
15	F	Research officer, trade union	A+	Robin Travis	Asian	"6989 Fischer Extensions Apt. 517
Josephshire, NC 40382"	1966/09/27	(Decimal('-81.7404615'), Decimal('175.324914'))	261-93-8607
16	F	Psychotherapist	AB+	Denise Russell	White	"20768 Kevin Summit Apt. 948
New Josephfurt, MI 75437"	1938/03/21	(Decimal('-79.1585155'), Decimal('-90.865253'))	125-58-1994
17	F	Engineer, building services	AB+	Kristine Underwood	Hawaiian	"50576 Doyle Mountain Suite 594
North James, ND 29846"	01/29/1981, 00:00:00	(Decimal('85.8924485'), Decimal('-153.527523'))	807-52-9842
18	F	Pension scheme manager	A+	Kim Barnes	White	"436 Justin Rapid Apt. 920
Sheilamouth, MI 76575"	1938-11-19	(Decimal('-28.881760'), Decimal('157.733000'))	888-18-5772
19	M	Minerals surveyor	B+	Robert Reese	Indian	"PSC 3682, Box 6282
APO AA 00717"	04/18/1933, 00:00:00	(Decimal('-9.5407695'), Decimal('-159.005732'))	224-36-0968
20	M	Therapist, speech and language	B+	Thomas Reeves	White	"392 Juan Village Suite 175
South Amber, MI 23813"	13 Mar 1950	(Decimal('-0.4501135'), Decimal('81.686207'))	850-14-8868
21	F	Chartered management accountant	A-	Diana Fuller MD	Indian	"622 Vang Flats
Amandastad, WI 81079"	11/22/1908, 00:00:00	(Decimal('14.4521655'), Decimal('-24.368341'))	884-21-9621
22	M	Set designer	O-	James Thompson	Asian	"41297 Jennifer Land
New Allison, UT 79776"	21 Feb 1947	(Decimal('-58.680329'), Decimal('87.802924'))	263-37-2196
23	F	Best boy	A+	Christina Miller	Black	"4805 Johnson Prairie
Wellsburgh, WA 28484"	25 Jul 1987	(Decimal('71.967445'), Decimal('46.275829'))	320-43-7131
24	M	Hydrogeologist	B-	Mr. Randy Harrison	Black	"3330 Jose Summit Suite 611
North Ronald, HI 29533"	1966-04-09	(Decimal('-0.4041495'), Decimal('-168.789796'))	496-69-7497
25	M	Interior and spatial designer	AB-	Gregory Gonzalez	Hawaiian	"53634 Beltran Land
North Jeremy, SD 73661"	25 Nov 1930	(Decimal('-59.3005535'), Decimal('68.981653'))	492-06-7948
26	M	Print production planner	O+	Jeffrey Cruz	White	"772 Owen Fall
Rachaelmouth, WY 74063"	05/11/1957, 00:00:00	(Decimal('59.1967335'), Decimal('169.993301'))	426-07-7210
27	M	Neurosurgeon	O-	Jeremy Gordon	Black	"24782 Jennifer Cliffs Suite 123
New David, OH 98289"	08/06/1976, 00:00:00	(Decimal('-80.5644045'), Decimal('77.731656'))	878-97-4561
28	M	Paramedic	A-	Richard Adams	White	"17090 Franco Plains
Bowmanborough, FL 83285"	02/08/1926, 00:00:00	(Decimal('-63.5628535'), Decimal('-128.771702'))	414-37-4061
29	M	Engineer, production	O+	Scott Taylor	White	"1250 Bryan Neck
Joneschester, AK 55378"	28 May 1978	(Decimal('49.655640'), Decimal('-124.485859'))	857-48-3418
30	M	Hotel manager	AB+	Duane Pruitt	Black	"7083 William Landing Suite 626
Diazshire, PA 68507"	1933/06/10	(Decimal('82.961003'), Decimal('-167.365748'))	386-91-0014
