	er-cv	name	indicator	leukocyty	weight	ssn	relationship	etytr	smoker	erytrocyty	trombocyty	hemoglobin	ast	alp	alt	hematokrit	hbver
0	43.09887	Devin Diaz	1.00000	4.47526	65.57593	597-97-9078	single	5.96219	no	6.20665	5.71427	5.06667	57.92930	57.60257	5.12934	7.11081	6.32708
1	32.51734	Theodore Morris	1.00000	4.41339	58.47779	100-19-5038	divoced	5.44840	no	5.58217	6.29619	6.90945	61.47846	83.38342	10.59365	8.52324	9.06429
2	54.39106	Ashley Mccormick	1.00000	4.71119	37.58396	241-30-2551	widowed	6.75478	Y	6.36030	6.67129	4.08668	59.37033	31.60935	10.72644	8.41874	7.11435
3	45.79943	Brent Howard	1.00000	5.38079	88.06628	667-52-4116	married	6.33099	no	5.45784	6.24957	5.57164	50.31551	75.29715	9.26557	4.69702	7.00724
4	48.81261	Paul Jordan	0.00000	4.72469	44.59816	368-59-5827	divoced	6.62153	no	6.36262	6.44608	6.49617	50.44424	84.90135	9.31196	6.31221	8.54503
5	72.74161	Travis Ferrell	0.00000	8.94992	18.69488	036-96-1532	separated	7.64333	no	8.02422	7.05623	9.94789	72.70990	4.36517	22.10499	6.09792	8.63421
6	40.09249	Kristina Velasquez	1.00000	5.59888	22.00953	647-20-1097	married	4.86621	no	5.85262	6.27295	4.97357	37.02726	65.62294	6.72322	3.23592	6.62205
7	58.86422	Juan Walker	1.00000	5.61325	15.54683	251-36-1661	separated	7.60829	no	5.30479	4.90232	4.26842	38.99106	26.17904	8.14713	7.83570	8.92026
8	34.99410	Austin Barker	1.00000	7.31457	111.49679	273-56-1579	divoced	7.67605	no	5.66944	6.18728	4.42863	61.73751	33.49128	7.21434	5.03607	6.82072
9	44.97858	Latoya Gonzalez	0.00000	8.69583	81.37918	316-81-0843	married	4.84903	no	4.97382	6.65963	5.12654	42.11790	68.35640	12.36691	6.48790	5.42826
10	60.18652	Colton Garcia	1.00000	4.60378	91.01178	224-40-1972	widowed	6.11247	Y	7.17853	6.38930	6.13359	39.56623	89.81641	18.23440	7.18095	8.51743
